#multi:
,mass A,mass B,mass C,mass D,
t,x,x,x,x,
2.300000E0,8.899010E-2,3.820902E-1,2.278048E-2,-2.102773E-1
2.333333E0,6.598088E-2,3.662414E-1,-1.829488E-3,-2.573822E-1
2.366667E0,3.960735E-2,3.386065E-1,-2.822834E-2,-2.923443E-1
2.400000E0,1.746306E-2,2.996276E-1,-4.967787E-2,-3.140033E-1
2.433333E0,-1.658437E-2,2.604890E-1,-7.068039E-2,-3.256777E-1
2.466667E0,-1.752336E-2,2.604773E-1,-7.149809E-2,-3.250563E-1
2.500000E0,-3.757862E-2,2.160043E-1,-8.799419E-2,-3.288759E-1
2.533333E0,-6.041953E-2,1.513670E-1,-1.004099E-1,-3.232993E-1
2.566667E0,-7.850182E-2,9.958218E-2,-1.078411E-1,-3.078472E-1
2.600000E0,-9.449332E-2,4.456479E-2,-1.123188E-1,-2.846657E-1
2.633333E0,-9.466606E-2,4.514850E-2,-1.131251E-1,-2.842559E-1
2.666667E0,-1.074295E-1,-1.063619E-2,-1.128202E-1,-2.416108E-1
2.700000E0,-1.161598E-1,-7.726314E-2,-1.086007E-1,-1.913574E-1
2.733333E0,-1.174713E-1,-1.414278E-1,-1.002724E-1,-1.332903E-1
2.766667E0,-1.173012E-1,-1.866824E-1,-8.736379E-2,-7.028494E-2
2.800000E0,-1.175462E-1,-1.870791E-1,-8.812385E-2,-6.984792E-2
2.833333E0,-1.160136E-1,-2.365944E-1,-7.212027E-2,1.465248E-3
2.866667E0,-1.064722E-1,-2.673516E-1,-5.239995E-2,7.592742E-2
2.900000E0,-9.033561E-2,-2.899814E-1,-2.846916E-2,1.490752E-1
2.933333E0,-7.158277E-2,-2.991656E-1,-3.376151E-3,2.188243E-1
2.966667E0,-7.195503E-2,-2.986966E-1,-2.986462E-3,2.186742E-1
3.000000E0,-4.990263E-2,-2.998864E-1,2.390927E-2,2.631720E-1
3.033333E0,-2.803470E-2,-2.973258E-1,4.945582E-2,3.261378E-1
3.066667E0,-1.597401E-3,-2.834874E-1,7.558514E-2,3.692527E-1
3.100000E0,3.782207E-2,-2.617738E-1,9.858528E-2,4.096795E-1
3.133333E0,3.792926E-2,-2.620405E-1,9.914894E-2,4.100527E-1
3.166667E0,6.060663E-2,-2.308543E-1,1.219531E-1,4.410064E-1
3.200000E0,9.859610E-2,-1.958053E-1,1.399255E-1,4.617417E-1
3.233333E0,1.221313E-1,-2.018693E-1,1.545111E-1,4.690858E-1
3.266667E0,1.491356E-1,-1.569232E-1,1.646970E-1,4.676819E-1
3.300000E0,1.491555E-1,-1.567433E-1,1.640532E-1,4.675269E-1
3.333333E0,1.780161E-1,-1.075310E-1,1.697677E-1,4.582260E-1
